tags,topic,difficulty,estimated_time
"two pointer,dfs traversal,prefix sum",Linked List,medium,45
"binary search,sliding window,greedy",Searching,hard,50
"union find,recursion,heap",Graphs,hard,55
"dfs traversal,bfs traversal,backtracking",Graphs,hard,60
"topological sort,two pointer,prefix sum",Graphs,medium,45
"binary search,greedy,recursion,heap,dfs traversal",Arrays,hard,50
"sliding window,union find,bfs traversal",Dynamic Programming,hard,55
"prefix sum,backtracking,topological sort",Math,hard,60
"two pointer,heap,recursion,dfs traversal",Linked List,medium,45
"binary search,greedy,bfs traversal,sliding window",Arrays,hard,50
"union find,topological sort,recursion",Graphs,hard,55
"heap,prefix sum,dfs traversal",Trees,hard,60
"two pointer,backtracking,greedy",Linked List,medium,45
"binary search,dfs traversal,sliding window",Searching,hard,50
"recursion,union find,bfs traversal",Trees,hard,55
"greedy,heap,topological sort,prefix sum",Arrays,hard,60
"bfs traversal,two pointer,dfs traversal",Graphs,medium,45
"binary search,union find,topological sort",Searching,hard,50
"greedy,recursion,sliding window,backtracking",Arrays,hard,55
"dfs traversal,heap,prefix sum",Graphs,hard,60
"two pointer,bfs traversal,union find",Linked List,medium,45
"binary search,sliding window,topological sort,recursion",Searching,hard,50
"greedy,dfs traversal,bfs traversal,heap",Arrays,hard,55
"prefix sum,union find,backtracking",Math,hard,60
"recursion,two pointer,dfs traversal",Backtracking,medium,45
"binary search,greedy,heap,union find",Arrays,hard,50
"sliding window,topological sort,dfs traversal",Dynamic Programming,hard,55
"bfs traversal,prefix sum,recursion",Graphs,hard,60
"two pointer,heap,greedy,dfs traversal",Linked List,medium,45
"binary search,recursion,backtracking,union find",Searching,hard,50
"greedy,sliding window,prefix sum,topological sort",Arrays,hard,55
"dfs traversal,bfs traversal,heap",Graphs,hard,60
"union find,two pointer,backtracking",Graphs,medium,45
"binary search,greedy,dfs traversal,recursion,sliding window",Arrays,hard,50
"heap,topological sort,bfs traversal",Trees,hard,55
"prefix sum,recursion,union find",Math,hard,60
"two pointer,greedy,heap,dfs traversal",Linked List,medium,45
"binary search,sliding window,bfs traversal,union find",Searching,hard,50
"greedy,recursion,topological sort,prefix sum",Arrays,hard,55
"dfs traversal,heap,backtracking",Graphs,hard,60
"two pointer,prefix sum,sliding window",Linked List,medium,45
"binary search,union find,recursion,topological sort",Searching,hard,50
"greedy,bfs traversal,dfs traversal,heap",Arrays,hard,55
"sliding window,backtracking,prefix sum",Dynamic Programming,hard,60
"recursion,two pointer,heap",Backtracking,medium,45
"binary search,greedy,prefix sum,union find,topological sort",Arrays,hard,50
"dfs traversal,sliding window,bfs traversal",Graphs,hard,55
"heap,recursion,backtracking",Trees,hard,60
"two pointer,greedy,dfs traversal,union find",Linked List,medium,45
"binary search,topological sort,sliding window,recursion",Searching,hard,50
"greedy,heap,bfs traversal,prefix sum",Arrays,hard,55
"union find,dfs traversal,backtracking",Graphs,hard,60
"two pointer,recursion,sliding window",Linked List,medium,45
"binary search,greedy,dfs traversal,heap,bfs traversal",Arrays,hard,50
"prefix sum,topological sort,union find,recursion",Math,hard,55
"sliding window,two pointer,backtracking",Dynamic Programming,hard,60
"binary search,union find,heap,recursion",Searching,hard,50
"greedy,dfs traversal,sliding window,prefix sum",Arrays,hard,55
"bfs traversal,topological sort,backtracking",Graphs,hard,60
"two pointer,heap,greedy,recursion",Linked List,medium,45
"binary search,sliding window,dfs traversal,union find",Searching,hard,50
"greedy,prefix sum,bfs traversal,topological sort",Arrays,hard,55
"recursion,heap,backtracking,dfs traversal",Trees,hard,60
"two pointer,union find,sliding window,prefix sum",Linked List,medium,45
"binary search,greedy,topological sort,recursion,bfs traversal",Arrays,hard,50
"dfs traversal,heap,sliding window,prefix sum",Graphs,hard,55
"union find,backtracking,topological sort",Graphs,hard,60
"two pointer,greedy,heap,dfs traversal,recursion",Linked List,medium,45
"binary search,sliding window,bfs traversal,topological sort",Searching,hard,50
"greedy,union find,prefix sum,recursion",Arrays,hard,55
"dfs traversal,heap,backtracking,bfs traversal",Graphs,hard,60
"two pointer,prefix sum,sliding window,union find",Linked List,medium,45
"binary search,greedy,recursion,heap,topological sort",Arrays,hard,50
"dfs traversal,bfs traversal,sliding window,prefix sum",Graphs,hard,55
"union find,backtracking,recursion,topological sort",Graphs,hard,60
"two pointer,greedy,heap,dfs traversal,bfs traversal",Linked List,medium,45
"binary search,sliding window,recursion,union find,topological sort",Searching,hard,50
"greedy,prefix sum,dfs traversal,bfs traversal,heap",Arrays,hard,55
"recursion,backtracking,topological sort,union find",Trees,hard,60
"two pointer,sliding window,greedy,heap,prefix sum",Linked List,medium,45
"binary search,dfs traversal,union find,recursion,topological sort",Searching,hard,50
"greedy,bfs traversal,sliding window,heap,prefix sum",Arrays,hard,55
"recursion,dfs traversal,backtracking,topological sort,union find",Trees,hard,60
"two pointer,greedy,heap,prefix sum,sliding window",Linked List,medium,45
"binary search,topological sort,bfs traversal,union find,recursion",Searching,hard,50
"greedy,dfs traversal,sliding window,heap,prefix sum",Arrays,hard,55
"recursion,backtracking,union find,topological sort,bfs traversal",Trees,hard,60
"two pointer,greedy,heap,dfs traversal,sliding window",Linked List,medium,45
"binary search,prefix sum,recursion,union find,topological sort",Searching,hard,50
"greedy,bfs traversal,dfs traversal,heap,sliding window",Arrays,hard,55
"recursion,backtracking,topological sort,prefix sum,union find",Trees,hard,60
"two pointer,greedy,heap,dfs traversal,bfs traversal,recursion",Linked List,medium,45
"binary search,sliding window,prefix sum,union find,topological sort",Searching,hard,50
"greedy,dfs traversal,bfs traversal,heap,recursion,backtracking",Arrays,hard,55
"union find,topological sort,prefix sum,sliding window,recursion",Graphs,hard,60
"two pointer,greedy,heap,dfs traversal,bfs traversal,sliding window",Linked List,medium,45
"binary search,recursion,backtracking,union find,topological sort,prefix sum",Searching,hard,50
"greedy,dfs traversal,bfs traversal,heap,sliding window,recursion",Arrays,hard,55
"union find,topological sort,prefix sum,backtracking,recursion,heap",Graphs,hard,60
